image_id,question,answers
1,这项运动可以用于什么？,"['赛车', '赛车', '赛车', '赛车', '赛车', '赛车', '摩托车越野赛', '摩托车越野赛', '骑行', '骑行']"
1,What sport can you use this for?,"['racing', 'racing', 'racing', 'racing', 'racing', 'racing', 'motocross', 'motocross', 'riding', 'riding']"
2,这是什么类型的植物？,"['藤本植物', '藤蔓', '藤蔓', '藤蔓', '攀爬植物', '攀爬植物', '看起来像是某种常春藤', '看起来像是某种常春藤', '榕属', '榕属']"
2,Name the type of plant this is?,"['vine', 'vine', 'vine', 'vine', 'climbing', 'climbing', 'looks like some kind of ivy', 'looks like some kind of ivy', 'ficus', 'ficus']"
3,这是什么玩具？,"['毛绒玩具', '毛绒玩具', '毛绒玩具', '毛绒玩具', '毛绒玩具', '毛绒玩具', '泰迪熊', '泰迪熊', '泰迪熊', '泰迪熊']"
3,What toy is this?,"['stuffed animal', 'stuffed animal', 'stuffed animal', 'stuffed animal', 'stuffed animal', 'stuffed animal', 'teddy bear', 'teddy bear', 'teddy bear', 'teddy bear']"
4,当这种动物参与人类手持物品的游戏时，它主要依靠身体的哪一部分来完成动作？,"['口', '嘴巴', '嘴', '嘴巴', '口', '口', '口', '口', '口', '口']"
4,Which part of this animal would be in use of it was playing the game that is played with the items the man is holding?,"['mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth']"
5,这位先生在那个红色袋子里可能装着什么？,"['衣服', '衣服', '衣服', '衣服', '食物', '食物', '午餐', '午餐', '鞋子', '鞋子']"
5,What could this gentleman be carrying in that red bag?,"['clothes', 'clothes', 'clothes', 'clothes', 'food', 'food', 'lunch', 'lunch', 'shoes', 'shoes']"
6,谁会把厕所弄成这样？,"['男人', '男人', '人', '男人', '男人', '男人', '男人', '男人', '男人', '男人']"
6,Who leaves a toilet like this?,"['man', 'man', 'man', 'man', 'man', 'man', 'men', 'men', 'men', 'men']"
7,像这样的固定在厨房中央的装置叫什么？,"['岛屿', '岛屿', '岛屿', '岛屿', '岛屿', '岛屿', '岛屿', '岛屿', '岛屿', '岛屿']"
7,A center affixed unit like this one in a kitchen is called a what?,"['island', 'island', 'island', 'island', 'island', 'island', 'island', 'island', 'island', 'island']"
8,为什么有人可能会去这个地方？,"['购物', '购物', '购物', '购物', '纽约市', '纽约市', '商店', '商店', '商业', '商业']"
8,Why might someone go to this place?,"['shopping', 'shopping', 'shopping', 'shopping', 'nyc', 'nyc', 'shop', 'shop', 'business', 'business']"
9,这从什么长出来的？,"['地面', '地面', '地面', '地面', '植物', '植物', '木槿植物茎', '木槿植株茎', '根', '根']"
9,What does this grow from?,"['ground', 'ground', 'ground', 'ground', 'plant', 'plant', 'hibiscus plant stem', 'hibiscus plant stem', 'roots', 'roots']"
10,那个男人拿着球拍在做什么？,"['摆动', '摆动', '摇摆', '摇摆', '摆动', '摆动', '打击', '击打', '试图击打球', '试图击球']"
10,What is that man doing with the bat?,"['swinging', 'swinging', 'swinging', 'swinging', 'swing', 'swing', 'hitting', 'hitting', 'trying to hit hte ball', 'trying to hit hte ball']"
11,这是在咸水海滩还是湖边？,"['盐水海滩', '盐水海滩', '盐水海滩', '盐水海滩', '盐水', '盐水', '湖', '湖泊', '海滩', '海滩']"
11,Is this at a salt water beach or a lake?,"['salt water beach', 'salt water beach', 'salt water beach', 'salt water beach', 'salt water', 'salt water', 'lake', 'lake', 'beach', 'beach']"
12,谁设计了这些雕像？,"['艺术家', '艺术家', '艺术家', '艺术家', '古埃尔', '桂尔', '托斯卡纳', '托斯卡诺', '架构师', '建筑师']"
12,Who designed the statues?,"['artist', 'artist', 'artist', 'artist', 'guell', 'guell', 'toscano', 'toscano', 'aritect', 'aritect']"
13,热狗上撒的配料叫什么名字？,"['调味品', '调味品', '调味品', '调料', '洋葱调味酱', '洋葱调味酱', '蔬菜', '蔬菜', '调味品', '调味品']"
13,What is the name of the items the hot dog are topped with?,"['condiments', 'condiments', 'condiments', 'condiments', 'onions relish', 'onions relish', 'vegetables', 'vegetables', 'relish', 'relish']"
14,这张桌子是用来做什么的？,"['工作', '工作', '工作', '工作', '计算', '计算', '工作', '工作', '办公室', '办公室']"
14,What is this desk used for?,"['working', 'working', 'working', 'working', 'computing', 'computing', 'work', 'work', 'office', 'office']"
15,地上是什么类型的自行车？,"['BMX', 'BMX', 'BMX', 'BMX', '自行车', '自行车', '自行车', '自行车', '10速', '10速']"
15,What type of bike is on the ground?,"['bmx', 'bmx', 'bmx', 'bmx', 'bicycle', 'bicycle', 'bicycle', 'bicycle', '10 speed', '10 speed']"
16,那是哪种类型的飞机？,"['商业的', '商业的', '商业的', '商业的', '乘客', '乘客', '澳洲航空', '昆塔斯', 'MD 80', 'MD 80']"
16,What type of plane is that?,"['commercial', 'commercial', 'commercial', 'commercial', 'passenger', 'passenger', 'quantas', 'quantas', 'md 80', 'md 80']"
17,这是男孩的房间还是女孩的房间？,"['女孩', '女孩', '女孩', '女孩', '女孩', '女孩', '女孩', '女孩', '女孩', '女孩']"
